id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
2201.03799,Shek Yeung,"Shek Yeung, Ming-Chung Chu","Directional Variations of Cosmological Parameters from the Planck CMB
  Data","18 pages, 7 figures, accepted to Phys. Rev. D",,,,astro-ph.CO,http://creativecommons.org/licenses/by/4.0/,"  Recent observations suggest that there are violations of the isotropy of the
universe at large scales, an important part of the cosmological principle. In
this paper, we use the Cosmic Microwave Background (CMB) data to search for
spatial variations of the cosmological parameters in the $\Lambda\mathrm{CDM}$
model. We fit the Planck temperature angular power spectrum
$\mathcal{C}^{TT}_\ell$ for 48 different half-skies, centering on 48 different
directions, to search for directional dependences of the standard cosmological
parameters. There are $3(2)\sigma$-level directional variations in
$\Omega_bh^2$, $\Omega_ch^2$, $n_s$, $100\theta_\mathrm{MC}$, and $H_0$ $(\tau$
and $\ln(10^{10}A_s))$. Furthermore, the directional distributions of the
parameters follow a dipole form to good approximation. The Bayes factor between
the isotropic and anisotropic hypotheses is $0.0041$, strongly disfavouring the
former. The best-fit dipole axes for $\Omega_bh^2$, $\Omega_ch^2$, $n_s$,
$100\theta_\mathrm{MC}$, and $A_s e^{-2\tau}$ all generally align with the mean
direction of $\boldsymbol{V} \equiv (b = -5.6^{+17.0{\circ}}_{-17.4}, l =
48.8^{+14.3{\circ}}_{-14.4})$, which is roughly perpendicular to the dipole of
the variation in fine structure constant, and is about $45^{\circ}$ to the
directions of the CMB kinematic dipole, CMB parity asymmetry, and polarization
of QSOs. Our results suggest either significant violation of the cosmological
principle, or previously unknown systematic errors in the standard CMB
analysis.
","[{'version': 'v1', 'created': 'Tue, 11 Jan 2022 06:18:51 GMT'}]",2022-01-12,"[['Yeung', 'Shek', ''], ['Chu', 'Ming-Chung', '']]"
2003.08052,Yuan Shen,"Yuan Shen, Shanduojiao Jiang, Muhammad Rizky Wellyanto, and Ranjitha
  Kumar",Can AI decrypt fashion jargon for you?,"5 pages, 6 figures, Accepted at workshop paper for AI4HCI at CHI2020",,,,cs.IR cs.CV cs.HC,http://creativecommons.org/licenses/by/4.0/,"  When people talk about fashion, they care about the underlying meaning of
fashion concepts,e.g., style.For example, people ask questions like what
features make this dress smart.However, the product descriptions in today
fashion websites are full of domain specific and low level words. It is not
clear to people how exactly those low level descriptions can contribute to a
style or any high level fashion concept. In this paper, we proposed a data
driven solution to address this concept understanding issues by leveraging a
large number of existing product data on fashion sites. We first collected and
categorized 1546 fashion keywords into 5 different fashion categories. Then, we
collected a new fashion product dataset with 853,056 products in total.
Finally, we trained a deep learning model that can explicitly predict and
explain high level fashion concepts in a product image with its low level and
domain specific fashion features.
","[{'version': 'v1', 'created': 'Wed, 18 Mar 2020 05:32:04 GMT'}]",2020-03-19,"[['Shen', 'Yuan', ''], ['Jiang', 'Shanduojiao', ''], ['Wellyanto', 'Muhammad Rizky', ''], ['Kumar', 'Ranjitha', '']]"
2107.01171,Ayed Al Sayem,"Ayed Al Sayem, Yubo Wang, Juanjuan Lu, Xianwen Liu, Alexander W. Bruch
  and Hong X. Tang","Efficient and tunable blue light generation using lithium niobate
  nonlinear photonics","5 Pages, 2 figures",,,,physics.optics physics.app-ph,http://creativecommons.org/licenses/by/4.0/,"  Thin film lithium niobate (LN) has recently emerged as a playground for
chip-scale nonlinear optics and leads to highly efficient frequency conversions
from near infrared to near-visible bands. For many nonlinear and quantum
photonics applications, it is desirable to operate deep into the visible band
within LN's transparency window. However, the strong material dispersion at
short wavelengths makes phase-matching difficult, necessitating sub-micron
scale control of domain structures for efficient quasi-phase-matching (QPM).
Here we report the operation of thin film LN in the blue wavelength and high
fidelity poling of thin-film LN waveguide to this regime. As a result,
quasi-phase matching is realized between IR (871nm) and blue (435.5nm)
wavelengths in a straight waveguide and prompts strong blue light generation
with a conversion efficiency $2900\pm400\%W^{-1}cm^{-2}$
","[{'version': 'v1', 'created': 'Fri, 2 Jul 2021 16:21:33 GMT'}]",2021-07-05,"[['Sayem', 'Ayed Al', ''], ['Wang', 'Yubo', ''], ['Lu', 'Juanjuan', ''], ['Liu', 'Xianwen', ''], ['Bruch', 'Alexander W.', ''], ['Tang', 'Hong X.', '']]"
1910.09108,Jongmin Yu,Jongmin Yu,"Boosting Mapping Functionality of Neural Networks via Latent Feature
  Generation based on Reversible Learning","9 pages, 5 figures, have been submitted to NeurIPS 2019",,,,cs.LG stat.ML,http://creativecommons.org/licenses/by/4.0/,"  This paper addresses a boosting method for mapping functionality of neural
networks in visual recognition such as image classification and face
recognition. We present reversible learning for generating and learning latent
features using the network itself. By generating latent features corresponding
to hard samples and applying the generated features in a training stage,
reversible learning can improve a mapping functionality without additional data
augmentation or handling the bias of dataset. We demonstrate an efficiency of
the proposed method on the MNIST,Cifar-10/100, and Extremely Biased and poorly
categorized dataset (EBPC dataset). The experimental results show that the
proposed method can outperform existing state-of-the-art methods in visual
recognition. Extensive analysis shows that our method can efficiently improve
the mapping capability of a network.
","[{'version': 'v1', 'created': 'Mon, 21 Oct 2019 01:46:32 GMT'}]",2019-10-22,"[['Yu', 'Jongmin', '']]"
2112.07583,Mingyang Song,"Mingyang Song, Liping Jing",Reinforcing Semantic-Symmetry for Document Summarization,"10 pages, 8 figures",,,,cs.CL,http://creativecommons.org/licenses/by/4.0/,"  Document summarization condenses a long document into a short version with
salient information and accurate semantic descriptions. The main issue is how
to make the output summary semantically consistent with the input document. To
reach this goal, recently, researchers have focused on supervised end-to-end
hybrid approaches, which contain an extractor module and abstractor module.
Among them, the extractor identifies the salient sentences from the input
document, and the abstractor generates a summary from the salient sentences.
This model successfully keeps the consistency between the generated summary and
the reference summary via various strategies (e.g., reinforcement learning).
There are two semantic gaps when training the hybrid model (one is between
document and extracted sentences, and the other is between extracted sentences
and summary). However, they are not explicitly considered in the existing
methods, which usually results in a semantic bias of summary. To mitigate the
above issue, in this paper, a new \textbf{r}einforcing
s\textbf{e}mantic-\textbf{sy}mmetry learning \textbf{m}odel is proposed for
document summarization (\textbf{ReSyM}). ReSyM introduces a
semantic-consistency reward in the extractor to bridge the first gap. A
semantic dual-reward is designed to bridge the second gap in the abstractor.
The whole document summarization process is implemented via reinforcement
learning with a hybrid reward mechanism (combining the above two rewards).
Moreover, a comprehensive sentence representation learning method is presented
to sufficiently capture the information from the original document. A series of
experiments have been conducted on two wildly used benchmark datasets CNN/Daily
Mail and BigPatent. The results have shown the superiority of ReSyM by
comparing it with the state-of-the-art baselines in terms of various evaluation
metrics.
","[{'version': 'v1', 'created': 'Tue, 14 Dec 2021 17:41:37 GMT'}]",2021-12-15,"[['Song', 'Mingyang', ''], ['Jing', 'Liping', '']]"
2105.09313,Gautam K. Das,Pawan K. Mishra and Gautam K. Das,Approximation Algorithms For The Dispersion Problems in a Metric Space,9. arXiv admin note: text overlap with arXiv:2105.09217,,,,cs.CG cs.DS,http://creativecommons.org/licenses/by/4.0/,"  In this article, we consider the $c$-dispersion problem in a metric space
$(X,d)$. Let $P=\{p_{1}, p_{2}, \ldots, p_{n}\}$ be a set of $n$ points in a
metric space $(X,d)$. For each point $p \in P$ and $S \subseteq P$, we define
$cost_{c}(p,S)$ as the sum of distances from $p$ to the nearest $c $ points in
$S \setminus \{p\}$, where $c\geq 1$ is a fixed integer. We define
$cost_{c}(S)=\min_{p \in S}\{cost_{c}(p,S)\}$ for $S \subseteq P$. In the
$c$-dispersion problem, a set $P$ of $n$ points in a metric space $(X,d)$ and a
positive integer $k \in [c+1,n]$ are given. The objective is to find a subset
$S\subseteq P$ of size $k$ such that $cost_{c}(S)$ is maximized. We propose a
simple polynomial time greedy algorithm that produces a $2c$-factor
approximation result for the $c$-dispersion problem in a metric space. The best
known result for the $c$-dispersion problem in the Euclidean metric space
$(X,d)$ is $2c^2$, where $P \subseteq \mathbb{R}^2$ and the distance function
is Euclidean distance [ Amano, K. and Nakano, S. I., Away from Rivals, CCCG,
pp.68-71, 2018 ]. We also prove that the $c$-dispersion problem in a metric
space is $W[1]$-hard.
","[{'version': 'v1', 'created': 'Wed, 19 May 2021 16:01:21 GMT'}, {'version': 'v2', 'created': 'Wed, 9 Jun 2021 13:42:45 GMT'}]",2021-06-10,"[['Mishra', 'Pawan K.', ''], ['Das', 'Gautam K.', '']]"
1806.08170,Patrick Totzke,"Parosh Aziz Abdulla, Mohamed Faouzi Atig, Radu Ciobanu, Richard Mayr,
  Patrick Totzke",Universal Safety for Timed Petri Nets is PSPACE-complete,,,,,cs.LO,http://creativecommons.org/licenses/by/4.0/,"  A timed network consists of an arbitrary number of initially identical
1-clock timed automata, interacting via hand-shake communication. In this
setting there is no unique central controller, since all automata are initially
identical. We consider the universal safety problem for such controller-less
timed networks, i.e., verifying that a bad event (enabling some given
transition) is impossible regardless of the size of the network.
  This universal safety problem is dual to the existential coverability problem
for timed-arc Petri nets, i.e., does there exist a number $m$ of tokens, such
that starting with $m$ tokens in a given place, and none in the other places,
some given transition is eventually enabled.
  We show that these problems are PSPACE-complete.
","[{'version': 'v1', 'created': 'Thu, 21 Jun 2018 11:12:10 GMT'}]",2018-06-22,"[['Abdulla', 'Parosh Aziz', ''], ['Atig', 'Mohamed Faouzi', ''], ['Ciobanu', 'Radu', ''], ['Mayr', 'Richard', ''], ['Totzke', 'Patrick', '']]"
2105.05375,Wei Xu,Wei Xu,"Maximizing the Value of Enterprise Human-Computer Interaction Standards:
  Strategies and Applications","16 pages, 3 figures, 2 tables",,,,cs.HC,http://creativecommons.org/licenses/by/4.0/,"  Human factors/ergonomics (HFE) standards are not only a useful reference for
experienced HFE practitioners but can also provide guidance for organizations
that are inexperienced in HFE design practice. HFE standards can give
credibility to the value of introducing user centered methods. As computing
technologies advance, knowledge of HFE has spread to the computing related
work, and the field of human-computer interaction (HCI) has grown rapidly.
Accordingly, HCI standards have evolved for guiding practice. There is great
deal of literature concerned with the development and practice of international
standards (e.g., International Organization for Standardization/ISO) and
national (e.g., The American National Standards Institute/ANSI) HFE or HCI
standards, but little on the practice of HCI standards at lower levels, such as
at the level of enterprise. This chapter will focus on the practice of HCI
standards there. It intends to assess the challenges of enterprise HCI
standards from strategy, development, and governance perspectives.
Specifically, we discuss the practices at Intel Corporation, a high-tech
enterprise environment.
","[{'version': 'v1', 'created': 'Wed, 12 May 2021 00:31:35 GMT'}]",2021-05-13,"[['Xu', 'Wei', '']]"
2203.06056,Nikolaj Thams,"Nikolaj Thams and Rikke S{\o}ndergaard and Sebastian Weichwald and
  Jonas Peters","Identifying Causal Effects using Instrumental Time Series: Nuisance IV
  and Correcting for the Past",,,,,stat.ME stat.ML,http://creativecommons.org/licenses/by/4.0/,"  Instrumental variable (IV) regression relies on instruments to infer causal
effects from observational data with unobserved confounding. We consider IV
regression in time series models, such as vector auto-regressive (VAR)
processes. Direct applications of i.i.d. techniques are generally inconsistent
as they do not correctly adjust for dependencies in the past. In this paper, we
propose methodology for constructing identifying equations that can be used for
consistently estimating causal effects. To do so, we develop nuisance IV, which
can be of interest even in the i.i.d. case, as it generalizes existing IV
methods. We further propose a graph marginalization framework that allows us to
apply nuisance and other IV methods in a principled way to time series. Our
framework builds on the global Markov property, which we prove holds for VAR
processes. For VAR(1) processes, we prove identifiability conditions that
relate to Jordan forms and are different from the well-known rank conditions in
the i.i.d. case (they do not require as many instruments as covariates, for
example). We provide methods, prove their consistency, and show how the
inferred causal effect can be used for distribution generalization. Simulation
experiments corroborate our theoretical results. We provide ready-to-use Python
code.
","[{'version': 'v1', 'created': 'Fri, 11 Mar 2022 16:29:48 GMT'}]",2022-03-14,"[['Thams', 'Nikolaj', ''], ['Søndergaard', 'Rikke', ''], ['Weichwald', 'Sebastian', ''], ['Peters', 'Jonas', '']]"
1910.10938,Yuanyue Huang,"Yuanyue Huang, Haixiang Guo, Jing Yu, Shicheng Li, Zuozhi Zuo","Resilience for Landslide Geohazards and Promoting Strategies in the
  Three Gorges Reservoir Area","Dear readers of arxiv? these days I have been thinking about this
  problem, and I found that, some points in this article should be changed,
  which means that more experiments should be done. I want to widraw this paper
  for a while",,,,stat.AP,http://creativecommons.org/licenses/by/4.0/,"  Recently, resilience is increasingly used as a concept for understanding
natural disaster systems. Landslide is one of the most frequent geohazards in
the Three Gorges Reservoir Area (TGRA).However, it is difficult to measure
local disaster resilience, because of special geographical location in the TGRA
and the special disaster landslide. Current approaches to disaster resilience
evaluation are usually limited either by the qualitative method or properties
of different disaster. Therefore, practical evaluating methods for the disaster
resilience are needed. In this study, we developed an indicator system to
evaluate landslides disaster resilience in the TGRE at the county level. It
includes two properties of inherent geological stress and external social
response, which are summarized into physical stress and social forces. The
evaluated disaster resilience can be simulated for promoting strategies with
fuzzy cognitive map (FCM).
","[{'version': 'v1', 'created': 'Thu, 24 Oct 2019 06:46:16 GMT'}, {'version': 'v2', 'created': 'Sun, 31 May 2020 02:19:53 GMT'}]",2020-06-02,"[['Huang', 'Yuanyue', ''], ['Guo', 'Haixiang', ''], ['Yu', 'Jing', ''], ['Li', 'Shicheng', ''], ['Zuo', 'Zuozhi', '']]"
